Price,Transmisson,Colour,Make Year,Mileage,Engine (CC),Fuel,Kilometer Run,Brand
2100000.0,Manual-2WD,Yellow,2017.0,15.0,1948.0,Diesel,93726.0,Tata
1950000.0,Auto-2WD,Silver,2013.0,13.0,1200.0,Petrol,47000.0,Maruti Suzuki
375000.0,Manual-2WD,Silver,2000.0,10.0,1400.0,Petrol,71000.0,Other Brands
920000.0,Auto-2WD,white,2009.0,15.0,50000.0,Petrol,70000.0,Maruti Suzuki
3200000.0,Manual-4WD,beige,2010.0,15.0,2000.0,Diesel,70000.0,Nissan
1175000.0,Manual-2WD,nilo,2013.0,15.0,800.0,Petrol,32000.0,Hyundai
4125000.0,Manual-2WD,Silky silver,2021.0,16.0,1500.0,Petrol,12000.0,Maruti Suzuki
3700000.0,Auto-2WD,blue white,2022.0,270.0,603.0,Electric,12000.0,Tata
3300000.0,Manual-2WD,White,2017.0,15.0,1599.0,Petrol,70000.0,Hyundai
2775000.0,Manual-4WD,white,2008.0,15.0,1500.0,Petrol,71000.0,Daihatsu
1400000.0,Power Steering,silver,2015.0,12.0,1200.0,Petrol,50000.0,Maruti Suzuki
4000000.0,Manual-2WD,Red + Black,2020.0,15.0,1500.0,Petrol,34000.0,Maruti Suzuki
3000000.0,Manual-2WD,Blue,2020.0,18.0,1200.0,Petrol,11000.0,Maruti Suzuki
1500000.0,Manual-2WD,White,2021.0,15.0,2900.0,Diesel,45000.0,Tata
1225000.0,Auto-2WD,gray,2010.0,15.0,1200.0,Petrol,62000.0,Maruti Suzuki
1325000.0,Manual-2WD,Red,2016.0,18.0,800.0,Petrol,42500.0,Maruti Suzuki
2300000.0,Auto-2WD,Grey,2016.0,15.0,1200.0,Petrol,25000.0,Maruti Suzuki
2100000.0,Manual-4WD,White,2018.0,15.0,2523.0,Diesel,59000.0,Mahindra
2750000.0,Manual-2WD,Gray,2016.0,15.0,1200.0,Petrol,23000.0,Hyundai
2525000.0,Manual-2WD,silver,2019.0,15.0,1200.0,Petrol,17000.0,Hyundai
2325000.0,Manual-4WD,Black,2010.0,12.0,1800.0,Petrol,72000.0,Skoda
2350000.0,Power Steering,Off white,2021.0,15.0,2500.0,Diesel,50000.0,Mahindra
1599000.0,Manual-2WD,Grey,2010.0,14.0,1197.0,Petrol,60500.0,Hyundai
420000.0,Auto-2WD,White,2012.0,18.0,800.0,Petrol,50000.0,Maruti Suzuki
1500000.0,Manual-2WD,blue,2011.0,15.0,1200.0,Petrol,45400.0,Hyundai
2075000.0,Manual-2WD,silver,2021.0,15.0,1200.0,Petrol,31000.0,Maruti Suzuki
2975000.0,Manual-2WD,silver,2016.0,16.0,2179.0,Diesel,62370.0,Mahindra
3990000.0,Auto-2WD,Red,2019.0,15.0,1600.0,Petrol,38000.0,Ssangyong
700000.0,Manual-4WD,white,2010.0,15.0,3500.0,Diesel,50000.0,Tata
2100000.0,Manual-2WD,White,2014.0,18.0,1200.0,Petrol,58000.0,Maruti Suzuki
350000.0,Auto-2WD,blue,2007.0,7.0,1948.0,Diesel,35000.0,Tata
400000.0,Auto-2WD,White,2014.0,14.0,800.0,Petrol,5500.0,Maruti Suzuki
950000.0,Manual-2WD,white,2010.0,15.0,2500.0,Diesel,50000.0,Mahindra
395900.0,Manual-2WD,Silver,2000.0,15.0,1600.0,Petrol,50000.0,Other Brands
2350000.0,Manual-2WD,Army green,2014.0,15.0,2200.0,Diesel,97500.0,Mahindra
1075900.0,Manual-2WD,Blue,2011.0,15.0,1600.0,Petrol,40000.0,Other Chinese Brands
1600000.0,Manual-2WD,Silver,2015.0,12.0,1383.0,Petrol,25125.0,Fiat
500000.0,Manual-2WD,Black,2007.0,15.0,1500.0,Diesel,71000.0,Tata
900000.0,Manual-2WD,Golden,2012.0,18.0,995.0,Petrol,30000.0,Chevrolet
1720000.0,Manual-2WD,White,2007.0,15.0,2400.0,Diesel,100000.0,Mahindra
1500000.0,Auto-2WD,White,2010.0,15.0,1198.0,Petrol,43000.0,Hyundai
1050000.0,Power Steering,Sky blue,2006.0,15.0,1086.0,Petrol,50000.0,Hyundai
1800000.0,Manual-2WD,silver,1975.0,12.0,1200.0,Petrol,95000.0,Toyota
2265000.0,Power Steering,Premium silver,2018.0,16.0,1200.0,Petrol,43000.0,Maruti Suzuki
2600000.0,Manual-2WD,white,2016.0,15.0,1200.0,Petrol,34000.0,Hyundai
1450000.0,Manual-4WD,red,2005.0,11.0,2000.0,Diesel,95000.0,Kia
1900000.0,Manual-2WD,white,2013.0,15.0,1000.0,Petrol,50000.0,Ford
2350000.0,Manual-2WD,White,2009.0,12.0,1600.0,Petrol,55000.0,Toyota
1600000.0,Manual-2WD,Silver,2015.0,12.0,1600.0,Petrol,65000.0,Skoda
800000.0,Manual-2WD,white,2003.0,15.0,1086.0,Petrol,90000.0,Hyundai
570000.0,Manual-2WD,Sky blue,2002.0,14.0,1086.0,Petrol,89.0,Hyundai
470000.0,Manual-2WD,White,2001.0,14.0,1000.0,Petrol,95.0,Hyundai
3080000.0,Manual-2WD,Grey,2021.0,12.0,1200.0,Petrol,10000.0,Kia
3850000.0,Auto-2WD,white,2022.0,15.0,50000.0,Electric,50000.0,Tata
1290000.0,Manual-2WD,gray,2008.0,12.0,1200.0,Petrol,67000.0,Hyundai
1125000.0,Auto-2WD,Blue,2010.0,20.0,1000.0,Petrol,72000.0,Maruti Suzuki
950000.0,Manual-2WD,White,2005.0,15.0,1086.0,Petrol,50000.0,Hyundai
1490000.0,Manual-2WD,Grey,2013.0,15.0,1086.0,Petrol,40000.0,Hyundai
2075000.0,Manual-2WD,Blue,2016.0,15.0,1197.0,Petrol,39000.0,Maruti Suzuki
1075000.0,Manual-2WD,Silver,2010.0,15.0,996.0,Petrol,61477.0,Maruti Suzuki
1300000.0,Manual-2WD,white,2010.0,15.0,50000.0,Petrol,50000.0,Maruti Suzuki
500000.0,Manual-4WD,White,2015.0,15.0,800.0,Petrol,40000.0,Maruti Suzuki
2250000.0,Manual-2WD,Silver,2015.0,15.0,1200.0,Petrol,46000.0,Maruti Suzuki
1100000.0,Manual-4WD,white,2018.0,16.0,1405.0,Diesel,95000.0,Tata
1525000.0,Manual-2WD,51000,2010.0,15.0,1198.0,Petrol,50000.0,Hyundai
4034000.0,Manual-2WD,white,2023.0,15.0,999.0,Petrol,50000.0,Nissan
2075000.0,Manual-2WD,Brown,2016.0,16.0,1200.0,Petrol,47000.0,Maruti Suzuki
650000.0,Power Steering,sliver,2001.0,15.0,1000.0,Petrol,80000.0,Hyundai
2550000.0,Manual-4WD,Silver,2019.0,15.0,1196.0,Petrol,17000.0,Hyundai
500000.0,Manual-2WD,sky,2001.0,15.0,2800.0,Petrol,90000.0,Other Brands
2050000.0,Manual-2WD,black,2015.0,15.0,1600.0,Petrol,35000.0,Volkswagen
1550000.0,Manual-2WD,white,2015.0,13.0,1400.0,Petrol,35000.0,Fiat
4575000.0,Manual-2WD,white,2019.0,15.0,1500.0,Petrol,38000.0,Hyundai
2250000.0,Manual-2WD,Orange,2016.0,15.0,15000.0,Petrol,50000.0,Ford
2865000.0,Manual-2WD,chocolate,2017.0,15.0,1197.0,Petrol,35000.0,Hyundai
2900000.0,Manual-2WD,white,2017.0,15.0,1200.0,Petrol,38000.0,Hyundai
1250000.0,Manual-2WD,golden,2012.0,15.0,1400.0,Petrol,38000.0,Chevrolet
2300000.0,Manual-2WD,mehroon,2018.0,14.0,1200.0,Petrol,27000.0,Hyundai
3150000.0,Manual-2WD,Grey,2010.0,15.0,2000.0,Petrol,75000.0,Volkswagen
3975000.0,Manual-2WD,Red,2021.0,15.0,1300.0,Petrol,30000.0,Maruti Suzuki
1265000.0,Manual-2WD,Blue,2009.0,15.0,1197.0,Petrol,61000.0,Hyundai
395000.0,Manual-2WD,green,2003.0,15.0,1400.0,Diesel,75000.0,Tata
390000.0,Manual-2WD,black,2000.0,13.0,1400.0,Petrol,90000.0,Tata
1550000.0,Manual-4WD,white,2016.0,13.0,2523.0,Diesel,45000.0,Mahindra
2425000.0,Manual-2WD,orange,2016.0,13.0,1500.0,Petrol,38000.0,Ford
2275000.0,Manual-2WD,silver,2015.0,14.0,1200.0,Petrol,40000.0,Hyundai
1525000.0,Manual-2WD,silver,2014.0,14.0,1197.0,Petrol,38000.0,Nissan
1399000.0,Manual-2WD,Grey,2009.0,14.0,1300.0,Petrol,52000.0,Maruti Suzuki
875000.0,Manual-2WD,silver,2007.0,14.0,1000.0,Petrol,61000.0,Daihatsu
2150000.0,Manual-4WD,Red,2007.0,13.0,2000.0,Diesel,78000.0,Hyundai
